,,Settlers - Control the most hexes in a straight line,,,,,,,,,,,,,
,,Polania Engineering,,Albion Militant,,Crimea Agricultural,,,,,,,,,
,,,,,,,,,,,,,,,
,,Game 1,,,Game 2,,,Game 3,,,,,,,
Group,Player Name,Faction / Mat,Raw Score,Challenge Score,Faction / Mat,Raw Score,Challenge Score,Faction / Mat,Raw Score,Challenge Score,Game Wins,Challenge Total,Challenge Win,check,Total Round Points
A,@JoyDivision#1722,Polania Engineering,41,2,Albion Militant,57,3,Crimea Agricultural,66,3,1,8,0,,1
A,@bbScythe#6377,Albion Militant,40,1,Crimea Agricultural,60,7,Polania Engineering,48,3,1,11,1,,2
A,@Mr. Der#8615,Crimea Agricultural,67,4,Polania Engineering,57,3,Albion Militant,58,2,1,9,0,,1
