,,,"Round 1: Game 1 Hi-Tier; Game 2 Low-Tier // Round 2: Game 1 lake factions + Rusviet; game 2 non-lake factions // 
Round 3: game 1 Pat/Mech/Ag/Eng boards and no Sax; game 2: Industrial, Inno, Militant, Eng boards. No Crimea. // Round 4: no restrictions",,,,,,,,,,,,,,,,,,
,,,"Instructions: enter positive numbers only, even for penalty. If there is a tie for first, add 0.5 to the raw score of the player who wins the tiebreaker.",,,,,,,,,,,,,,,,,,
,,,Game 1,,,,,,,Game 2,,,,,,,,,,,
Round,Group,Player Name,Faction,Mat,Raw Score (from DE),Time penalty (if any),Bid value,Net Score,Win?,Faction,Mat,Raw Score (from DE),Time penalty (if any),Bid value,Net Score,Win?,Total wins from match,# games completed,opponent 1,opponent 2,opponent 3
3,I,loveable tofosi,Albion,Patriotic,34,,15,19,,Albion,Industrial,46,,0,46,,0,2,dAy,Duce,HarleyQuinn
4,J,Winteriscoming,Rusviet,Patriotic,80,,28,52,yes,Polania,Agricultural,59,,14,45,,1,2,loveable tofosi,HarleyQuinn,3dsam1
4,J,loveable tofosi,Albion,Militant,46,,14,32,,Albion,Patriotic,48,,9,39,,0,2,Winteriscoming,HarleyQuinn,3dsam1
4,J,HarleyQuinn,Togawa,Engineering,38,,0,38,,Nordic,Militant,56,,0,56,yes,1,2,Winteriscoming,loveable tofosi,3dsam1
4,J,3dsam1,Saxony,Industrial,38,,27,11,,Rusviet,Mechanical,53,,27,26,,0,2,Winteriscoming,loveable tofosi,HarleyQuinn
4,K,Nevic,Togawa,Innovative,59,,4,55,yes,Crimea,Innovative,86,,25,61,yes,2,2,Duce,nobadinohz,Hugu
4,K,Duce,Polania,Industrial,51,,12,39,,Polania,Patriotic,59,,15,44,,0,2,Nevic,nobadinohz,Hugu
4,K,nobadinohz,Saxony,Agricultural,38,,4,34,,Saxony,Engineering,35,,5,30,,0,2,Nevic,Duce,Hugu
4,K,Hugu,Crimea,Engineering,49,,13,36,,Nordic,Mechanical,43,,4,39,,0,2,Nevic,Duce,nobadinohz
4,L,dAy,,,,,,,,,,,,,,,0,0,Hit Mann,HeroofCanton,poserLX
4,L,Hit Mann,,,,,,,,,,,,,,,0,0,dAy,HeroofCanton,poserLX
4,L,HeroofCanton,,,,,,,,,,,,,,,0,0,dAy,Hit Mann,poserLX
4,L,poserLX,,,,,,,,,,,,,,,0,0,dAy,Hit Mann,HeroofCanton
FINAL,,dAy,Polania,Engineering,48,,8,40,,,,,,,,,,,Nevic,poserLX,Duce
FINAL,,Nevic,Togawa,Industrial,35,,0,35,,,,,,,,,,,dAy,poserLX,Duce
FINAL,,poserLX,Albion,Patriotic,65,,4,61,yes,,,,,,,,,,dAy,Nevic,Duce
FINAL,,Duce,Crimea,Agricultural,64,,10,54,,,,,,,,,,,dAy,Nevic,poserLX
