event,match,player_a,rank_a,player_b,rank_b,player_c,rank_c,player_d,rank_d
"Season 3, 1v1 League",T3 G34,Scuri,2,astenu,1,,,,
"Season 3, 1v1 League",T3 G35,astenu,1,Bulldogcoma,2,,,,
"Season 3, 1v1 League",T3 G36,astenu,1,Bulldogcoma,2,,,,
"Season 3, 1v1 League",T3 G37,Scuri,2,Bulldogcoma,1,,,,
"Season 3, 1v1 League",T3 G38,Scuri,2,Bulldogcoma,1,,,,
"Season 3, 1v1 League",T3 G39,Bulldogcoma,1,astenu,2,,,,
"Season 3, 1v1 League",T3 G40,Bulldogcoma,1,astenu,2,,,,
"Season 3, 1v1 League",T3 G41,Bulldogcoma,1,Scuri,2,,,,
"Season 3, 1v1 League",T3 G42,Bulldogcoma,1,Scuri,2,,,,
Factory Rush 2023,R1 T1,Nevic,2,ninjew,2,Fllyingmustang,1,,
Factory Rush 2023,R1 T2,Mr. Der,2,Halloworhorcrux,2,Germy,1,,
Factory Rush 2023,R1 T3,ammorning,2,JoyDivision,1,FOMOF,2,,
Factory Rush 2023,R1 T4,Sophrosyne36,2,nobadinohz,1,poserLX,2,,
Factory Rush 2023,R2 T1,poserLX,2,Nevic,1,Halloworhorcrux,2,,
Factory Rush 2023,R2 T2,FOMOF,1,Mr. Der,2,ninjew,2,,
Factory Rush 2023,R2 T3,Fllyingmustang,2,zevgon,2,nobadinohz,1,,
Factory Rush 2023,R2 T4,Germy,2,Sophrosyne36,2,JoyDivision,1,,
Factory Rush 2023,R3 T1,JoyDivision,1,Fllyingmustang,2,Mr. Der,2,,
Factory Rush 2023,R3 T2,Halloworhorcrux,2,FOMOF,1,Sophrosyne36,2,,
Factory Rush 2023,R3 T3,nobadinohz,1,Germy,2,ammorning,2,,
Factory Rush 2023,R3 T4,ninjew,2,poserLX,1,zevgon,2,,
Factory Rush 2023,R4 T1,Sophrosyne36,2,ninjew,2,Nevic,1,,
Factory Rush 2023,R4 T2,nobadinohz,1,JoyDivision,2,Mr. Der,2,,
Factory Rush 2023,R4 T3,ammorning,1,zevgon,2,Fllyingmustang,2,,
Factory Rush 2023,R4 T4,FOMOF,2,poserLX,2,Germy,1,,
Factory Rush 2023,R5 T1,Germy,2,Nevic,2,JoyDivision,1,,
Factory Rush 2023,R5 T2,Halloworhorcrux,2,nobadinohz,1,ninjew,2,,
Factory Rush 2023,R5 T3,Mr. Der,1,Sophrosyne36,2,zevgon,2,,
Factory Rush 2023,R5 T4,poserLX,1,FOMOF,2,ammorning,2,,
Factory Rush 2023,R6 T1,Nevic,2,Mr. Der,1,nobadinohz,2,,
Factory Rush 2023,R6 T2,ninjew,2,ammorning,1,Sophrosyne36,2,,
Factory Rush 2023,R6 T3,Fllyingmustang,2,Halloworhorcrux,2,poserLX,1,,
Factory Rush 2023,R6 T4,zevgon,1,Germy,2,FOMOF,2,,
Factory Rush 2023,R7 T1,zevgon,2,ammorning,2,Nevic,1,,
Factory Rush 2023,R7 T2,JoyDivision,1,Fllyingmustang,2,Halloworhorcrux,2,,
Factory Rush 2023,Finals 1,JoyDivision,2,nobadinohz,1,Nevic,2,,
Factory Rush 2023,Finals 2,JoyDivision,1,nobadinohz,2,Nevic,2,,
Factory Rush 2023,Finals 3,JoyDivision,1,nobadinohz,2,Nevic,2,,
2024 Scythe Ice Bowl (Main),R1 A1,Grishous,1,poserLX,2,BillyBeyond,2,JoyDivision,2
2024 Scythe Ice Bowl (Main),R1 A2,Grishous,2,poserLX,1,BillyBeyond,2,JoyDivision,2
2024 Scythe Ice Bowl (Main),R1 B1,donov,2,nobadinohz,2,JoeyTyke,2,Prince Ali,1
2024 Scythe Ice Bowl (Main),R1 B2,donov,2,nobadinohz,1,JoeyTyke,2,Prince Ali,2
2024 Scythe Ice Bowl (Main),R1 C1,harryfan007,2,Nevic,1,SuaveJ,2,echostaffel,2
2024 Scythe Ice Bowl (Main),R1 C2,harryfan007,2,Nevic,2,SuaveJ,2,echostaffel,1
2024 Scythe Ice Bowl (Main),R1 D1,truebroyeti,2,Hugu,2,ninjew,1,Tinydoge,2
2024 Scythe Ice Bowl (Main),R1 D2,truebroyeti,2,Hugu,2,ninjew,1,Tinydoge,2
2024 Scythe Ice Bowl (Main),R1 E1,3dsam1,2,FOMOF,1,Bulldogcoma,2,tomeleoon,2
2024 Scythe Ice Bowl (Main),R1 E2,3dsam1,2,FOMOF,2,Bulldogcoma,2,tomeleoon,1
2024 Scythe Ice Bowl (Main),R1 F1,morewhales,2,Bascythe,2,Mr. Der,1,,
2024 Scythe Ice Bowl (Main),R1 F2,morewhales,2,Bascythe,2,Mr. Der,1,,
2024 Scythe Ice Bowl (Main),R1 G1,NoblaSalebla,2,releasethecralkin,2,Britta,1,Noobmaster5000,2
2024 Scythe Ice Bowl (Main),R1 G2,NoblaSalebla,1,releasethecralkin,2,Britta,2,Noobmaster5000,2
2024 Scythe Ice Bowl (Main),R2 A1,Mr. Der,2,ninjew,2,Nevic,1,Grishous,2
2024 Scythe Ice Bowl (Main),R2 A2,Mr. Der,1,ninjew,2,Nevic,2,Grishous,2
2024 Scythe Ice Bowl (Main),R2 B1,Britta,1,nobadinohz,2,echostaffel,2,FOMOF,2
2024 Scythe Ice Bowl (Main),R2 B2,Britta,2,nobadinohz,1,echostaffel,2,FOMOF,2
2024 Scythe Ice Bowl (Main),R2 C1,NoblaSalebla,1,poserLX,2,tomeleoon,2,Prince Ali,2
2024 Scythe Ice Bowl (Main),R2 C2,NoblaSalebla,2,poserLX,1,tomeleoon,2,Prince Ali,2
2024 Scythe Ice Bowl (Main),R2 D1,truebroyeti,2,donov,2,releasethecralkin,2,morewhales,1
2024 Scythe Ice Bowl (Main),R2 D2,truebroyeti,1,donov,2,releasethecralkin,2,morewhales,2
2024 Scythe Ice Bowl (Main),R2 E1,harryfan007,2,Bascythe,2,Hugu,1,Noobmaster5000,2
2024 Scythe Ice Bowl (Main),R2 E2,harryfan007,2,Bascythe,2,Hugu,2,Noobmaster5000,1
2024 Scythe Ice Bowl (Main),R2 F1,JoyDivision,1,Bulldogcoma,2,JoeyTyke,2,dAy,2
2024 Scythe Ice Bowl (Main),R2 F2,JoyDivision,2,Bulldogcoma,2,JoeyTyke,2,dAy,1
2024 Scythe Ice Bowl (Main),R3 A1,Mr. Der,1,nobadinohz,2,poserLX,2,NoblaSalebla,2
2024 Scythe Ice Bowl (Main),R3 A2,Mr. Der,2,nobadinohz,1,poserLX,2,NoblaSalebla,2
2024 Scythe Ice Bowl (Main),R3 B1,ninjew,2,Nevic,1,Britta,2,Prince Ali,2
2024 Scythe Ice Bowl (Main),R3 B2,ninjew,2,Nevic,2,Britta,1,Prince Ali,2
2024 Scythe Ice Bowl (Main),R3 C1,Grishous,1,echostaffel,2,tomeleoon,2,Noobmaster5000,2
2024 Scythe Ice Bowl (Main),R3 C2,Grishous,2,echostaffel,1,tomeleoon,2,Noobmaster5000,2
2024 Scythe Ice Bowl (Main),R3 D1,FOMOF,2,morewhales,2,JoyDivision,1,Hugu,2
2024 Scythe Ice Bowl (Main),R3 D2,FOMOF,2,morewhales,1,JoyDivision,2,Hugu,2
2024 Scythe Ice Bowl (Main),R3 E1,truebroyeti,2,dAy,2,Bascythe,2,releasethecralkin,1
2024 Scythe Ice Bowl (Main),R3 E2,truebroyeti,2,dAy,2,Bascythe,2,releasethecralkin,1
2024 Scythe Ice Bowl (Main),R3 F1,donov,2,JoeyTyke,2,harryfan007,1,Bulldogcoma,2
2024 Scythe Ice Bowl (Main),R3 F2,donov,2,JoeyTyke,1,harryfan007,2,Bulldogcoma,2
2024 Scythe Ice Bowl (Main),R4 A1,Mr. Der,2,Nevic,1,Britta,2,nobadinohz,2
2024 Scythe Ice Bowl (Main),R4 A2,Mr. Der,2,Nevic,2,Britta,1,nobadinohz,2
2024 Scythe Ice Bowl (Main),R4 B1,NoblaSalebla,1,ninjew,2,Grishous,2,morewhales,2
2024 Scythe Ice Bowl (Main),R4 B2,NoblaSalebla,2,ninjew,2,Grishous,2,morewhales,1
2024 Scythe Ice Bowl (Main),R4 C1,poserLX,2,echostaffel,2,releasethecralkin,1,JoyDivision,2
2024 Scythe Ice Bowl (Main),R4 C2,poserLX,2,echostaffel,2,releasethecralkin,2,JoyDivision,1
2024 Scythe Ice Bowl (Main),R4 D1,Prince Ali,2,FOMOF,2,Noobmaster5000,1,truebroyeti,2
2024 Scythe Ice Bowl (Main),R4 D2,Prince Ali,2,FOMOF,2,Noobmaster5000,2,truebroyeti,1
2024 Scythe Ice Bowl (Main),R4 E1,tomeleoon,1,Hugu,2,harryfan007,2,dAy,2
2024 Scythe Ice Bowl (Main),R4 E2,tomeleoon,2,Hugu,2,harryfan007,2,dAy,1
2024 Scythe Ice Bowl (Main),R4 F1,JoeyTyke,1,Bascythe,2,donov,2,Bulldogcoma,2
2024 Scythe Ice Bowl (Main),R4 F2,JoeyTyke,2,Bascythe,2,donov,1,Bulldogcoma,2
2024 Scythe Ice Bowl (Main),Semi A1,Britta,2,releasethecralkin,2,echostaffel,2,morewhales,1
2024 Scythe Ice Bowl (Main),Semi A2,Britta,2,releasethecralkin,1,echostaffel,2,,
2024 Scythe Ice Bowl (Main),Semi B1,Mr. Der,2,NoblaSalebla,2,poserLX,2,JoyDivision,1
2024 Scythe Ice Bowl (Main),Semi B2,Mr. Der,1,NoblaSalebla,2,poserLX,2,,
2024 Scythe Ice Bowl (Main),Semi C1,nobadinohz,2,ninjew,2,Grishous,2,Nevic,1
2024 Scythe Ice Bowl (Main),Semi C2,nobadinohz,1,ninjew,2,Grishous,2,,
2024 Scythe Ice Bowl (Main),Play-in,releasethecralkin,1,Mr. Der,2,nobadinohz,2,,
2024 Scythe Ice Bowl (Main),Finals,morewhales,2,JoyDivision,1,Nevic,2,releasethecralkin,2
2024 Scythe Ice Bowl (Novice),R1 H1,przechodzenachaos,1,Maza,2,johnak,2,Scuri,2
2024 Scythe Ice Bowl (Novice),R1 H2,przechodzenachaos,1,Maza,2,johnak,2,Scuri,2
2024 Scythe Ice Bowl (Novice),R1 I1,snow814,2,daveedojr,2,SaneDude,2,Kradenth,1
2024 Scythe Ice Bowl (Novice),R1 I2,snow814,2,daveedojr,1,SaneDude,2,Kradenth,2
2024 Scythe Ice Bowl (Novice),R1 J1,FibausmHochhaus,1,boredgamer01,2,Zahart,2,Fish,2
2024 Scythe Ice Bowl (Novice),R1 J2,FibausmHochhaus,1,boredgamer01,2,Zahart,2,Fish,2
2024 Scythe Ice Bowl (Novice),R1 Z1,Tinydoge,2,3dsam1,2,BillyBeyond,2,SuaveJ,1
2024 Scythe Ice Bowl (Novice),R1 Z2,Tinydoge,1,3dsam1,2,BillyBeyond,2,SuaveJ,2
2024 Scythe Ice Bowl (Novice),R2 H1,FibausmHochhaus,2,Tinydoge,2,SaneDude,1,,
2024 Scythe Ice Bowl (Novice),R2 H2,FibausmHochhaus,1,Tinydoge,2,SaneDude,2,,
2024 Scythe Ice Bowl (Novice),R2 I1,johnak,2,Fish,1,daveedojr,2,,
2024 Scythe Ice Bowl (Novice),R2 I2,johnak,2,Fish,1,daveedojr,2,,
2024 Scythe Ice Bowl (Novice),R2 J1,3dsam1,2,Zahart,2,Scuri,2,Kradenth,1
2024 Scythe Ice Bowl (Novice),R2 J2,3dsam1,2,Zahart,2,Scuri,1,Kradenth,2
2024 Scythe Ice Bowl (Novice),R2 Z1,boredgamer01,2,przechodzenachaos,2,BillyBeyond,2,snow814,1
2024 Scythe Ice Bowl (Novice),R2 Z2,boredgamer01,2,przechodzenachaos,2,BillyBeyond,2,snow814,1
2024 Scythe Ice Bowl (Novice),R3 H1,johnak,2,snow814,2,Tinydoge,2,Zahart,1
2024 Scythe Ice Bowl (Novice),R3 H2,johnak,2,snow814,2,Tinydoge,2,Zahart,1
2024 Scythe Ice Bowl (Novice),R3 J1,boredgamer01,2,Kradenth,2,Fish,2,3dsam1,1
2024 Scythe Ice Bowl (Novice),R3 J2,boredgamer01,2,Kradenth,2,Fish,1,3dsam1,2
2024 Scythe Ice Bowl (Novice),R3 Z1,Scuri,2,BillyBeyond,2,daveedojr,2,FibausmHochhaus,1
2024 Scythe Ice Bowl (Novice),R3 Z2,Scuri,2,BillyBeyond,2,daveedojr,1,FibausmHochhaus,2
2024 Scythe Ice Bowl (Novice),R4 H1,Tinydoge,2,Fish,1,Scuri,2,snow814,2
2024 Scythe Ice Bowl (Novice),R4 H2,Tinydoge,2,Fish,2,Scuri,2,snow814,1
2024 Scythe Ice Bowl (Novice),R4 I1,Zahart,1,Kradenth,2,BillyBeyond,2,daveedojr,2
2024 Scythe Ice Bowl (Novice),R4 I2,Zahart,2,Kradenth,2,BillyBeyond,2,daveedojr,1
2024 Scythe Ice Bowl (Novice),R4 J1,johnak,2,3dsam1,2,FibausmHochhaus,1,SaneDude,2
2024 Scythe Ice Bowl (Novice),R4 J2,johnak,2,3dsam1,2,FibausmHochhaus,2,SaneDude,1
2024 Scythe Ice Bowl (Novice),Finals,FibausmHochhaus,1,Fish,2,daveedojr,2,Zahart,2
"Season 4, 1v1 League",T1,dAy,1,JoyDivision,2,,,,
"Season 4, 1v1 League",T1,dAy,2,JoyDivision,1,,,,
"Season 4, 1v1 League",T1,dAy,1,morewhales,2,,,,
"Season 4, 1v1 League",T1,dAy,2,morewhales,1,,,,
"Season 4, 1v1 League",T1,dAy,1,Nevic,2,,,,
"Season 4, 1v1 League",T1,dAy,1,Nevic,2,,,,
"Season 4, 1v1 League",T1,dAy,1,ninjew,2,,,,
"Season 4, 1v1 League",T1,dAy,1,ninjew,2,,,,
"Season 4, 1v1 League",T1,dAy,1,nobadinohz,2,,,,
"Season 4, 1v1 League",T1,dAy,2,nobadinohz,1,,,,
"Season 4, 1v1 League",T1,dAy,1,releasethecralkin,2,,,,
"Season 4, 1v1 League",T1,dAy,1,releasethecralkin,2,,,,
"Season 4, 1v1 League",T1,JoyDivision,1,dAy,2,,,,
"Season 4, 1v1 League",T1,JoyDivision,1,dAy,2,,,,
"Season 4, 1v1 League",T1,JoyDivision,2,morewhales,1,,,,
"Season 4, 1v1 League",T1,JoyDivision,2,morewhales,1,,,,
"Season 4, 1v1 League",T1,JoyDivision,1,Nevic,2,,,,
"Season 4, 1v1 League",T1,JoyDivision,1,Nevic,2,,,,
"Season 4, 1v1 League",T1,JoyDivision,2,ninjew,1,,,,
"Season 4, 1v1 League",T1,JoyDivision,1,ninjew,2,,,,
"Season 4, 1v1 League",T1,JoyDivision,1,nobadinohz,2,,,,
"Season 4, 1v1 League",T1,JoyDivision,1,nobadinohz,2,,,,
"Season 4, 1v1 League",T1,JoyDivision,1,releasethecralkin,2,,,,
"Season 4, 1v1 League",T1,JoyDivision,1,releasethecralkin,2,,,,
"Season 4, 1v1 League",T1,morewhales,2,dAy,1,,,,
"Season 4, 1v1 League",T1,morewhales,1,dAy,2,,,,
"Season 4, 1v1 League",T1,morewhales,2,JoyDivision,1,,,,
"Season 4, 1v1 League",T1,morewhales,2,JoyDivision,1,,,,
"Season 4, 1v1 League",T1,morewhales,2,Nevic,1,,,,
"Season 4, 1v1 League",T1,morewhales,2,Nevic,1,,,,
"Season 4, 1v1 League",T1,morewhales,2,ninjew,1,,,,
"Season 4, 1v1 League",T1,morewhales,2,ninjew,1,,,,
"Season 4, 1v1 League",T1,morewhales,2,nobadinohz,1,,,,
"Season 4, 1v1 League",T1,morewhales,2,nobadinohz,1,,,,
"Season 4, 1v1 League",T1,morewhales,1,releasethecralkin,2,,,,
"Season 4, 1v1 League",T1,morewhales,2,releasethecralkin,1,,,,
"Season 4, 1v1 League",T1,Nevic,1,dAy,2,,,,
"Season 4, 1v1 League",T1,Nevic,2,dAy,1,,,,
"Season 4, 1v1 League",T1,Nevic,2,JoyDivision,1,,,,
"Season 4, 1v1 League",T1,Nevic,2,JoyDivision,1,,,,
"Season 4, 1v1 League",T1,Nevic,2,morewhales,1,,,,
"Season 4, 1v1 League",T1,Nevic,1,morewhales,2,,,,
"Season 4, 1v1 League",T1,Nevic,1,ninjew,2,,,,
"Season 4, 1v1 League",T1,Nevic,1,ninjew,2,,,,
"Season 4, 1v1 League",T1,Nevic,2,nobadinohz,1,,,,
"Season 4, 1v1 League",T1,Nevic,2,nobadinohz,1,,,,
"Season 4, 1v1 League",T1,Nevic,2,releasethecralkin,1,,,,
"Season 4, 1v1 League",T1,Nevic,2,releasethecralkin,1,,,,
"Season 4, 1v1 League",T1,ninjew,2,dAy,1,,,,
"Season 4, 1v1 League",T1,ninjew,2,dAy,1,,,,
"Season 4, 1v1 League",T1,ninjew,2,JoyDivision,1,,,,
"Season 4, 1v1 League",T1,ninjew,2,JoyDivision,1,,,,
"Season 4, 1v1 League",T1,ninjew,1,morewhales,2,,,,
"Season 4, 1v1 League",T1,ninjew,1,morewhales,2,,,,
"Season 4, 1v1 League",T1,ninjew,1,Nevic,2,,,,
"Season 4, 1v1 League",T1,ninjew,2,Nevic,1,,,,
"Season 4, 1v1 League",T1,ninjew,2,nobadinohz,1,,,,
"Season 4, 1v1 League",T1,ninjew,1,nobadinohz,2,,,,
"Season 4, 1v1 League",T1,ninjew,2,releasethecralkin,1,,,,
"Season 4, 1v1 League",T1,ninjew,1,releasethecralkin,2,,,,
"Season 4, 1v1 League",T1,nobadinohz,1,dAy,2,,,,
"Season 4, 1v1 League",T1,nobadinohz,2,dAy,1,,,,
"Season 4, 1v1 League",T1,nobadinohz,2,JoyDivision,1,,,,
"Season 4, 1v1 League",T1,nobadinohz,2,JoyDivision,1,,,,
"Season 4, 1v1 League",T1,nobadinohz,1,morewhales,2,,,,
"Season 4, 1v1 League",T1,nobadinohz,1,morewhales,2,,,,
"Season 4, 1v1 League",T1,nobadinohz,1,Nevic,2,,,,
"Season 4, 1v1 League",T1,nobadinohz,1,Nevic,2,,,,
"Season 4, 1v1 League",T1,nobadinohz,1,ninjew,2,,,,
"Season 4, 1v1 League",T1,nobadinohz,1,ninjew,2,,,,
"Season 4, 1v1 League",T1,nobadinohz,1,releasethecralkin,2,,,,
"Season 4, 1v1 League",T1,nobadinohz,1,releasethecralkin,2,,,,
"Season 4, 1v1 League",T1,releasethecralkin,2,dAy,1,,,,
"Season 4, 1v1 League",T1,releasethecralkin,2,dAy,1,,,,
"Season 4, 1v1 League",T1,releasethecralkin,2,JoyDivision,1,,,,
"Season 4, 1v1 League",T1,releasethecralkin,2,JoyDivision,1,,,,
"Season 4, 1v1 League",T1,releasethecralkin,2,morewhales,1,,,,
"Season 4, 1v1 League",T1,releasethecralkin,1,morewhales,2,,,,
"Season 4, 1v1 League",T1,releasethecralkin,2,Nevic,1,,,,
"Season 4, 1v1 League",T1,releasethecralkin,2,Nevic,1,,,,
"Season 4, 1v1 League",T1,releasethecralkin,1,ninjew,2,,,,
"Season 4, 1v1 League",T1,releasethecralkin,1,ninjew,2,,,,
"Season 4, 1v1 League",T1,releasethecralkin,1,nobadinohz,2,,,,
"Season 4, 1v1 League",T1,releasethecralkin,1,nobadinohz,2,,,,
"Season 4, 1v1 League",T2 G1,Prince Ali,2,Bulldogcoma,1,,,,
"Season 4, 1v1 League",T2 G2,Prince Ali,2,Bulldogcoma,1,,,,
"Season 4, 1v1 League",T2 G3,Bulldogcoma,1,Grishous,2,,,,
"Season 4, 1v1 League",T2 G4,Bulldogcoma,1,Grishous,2,,,,
"Season 4, 1v1 League",T2 G5,Bulldogcoma,2,Dzordz,1,,,,
"Season 4, 1v1 League",T2 G6,Noobmaster5000,1,Dzordz,2,,,,
"Season 4, 1v1 League",T2 G7,Dzordz,1,Noobmaster5000,2,,,,
"Season 4, 1v1 League",T2 G8,Prince Ali,2,ammorning,1,,,,
"Season 4, 1v1 League",T2 G9,ammorning,1,Prince Ali,2,,,,
"Season 4, 1v1 League",T2 G10,Grishous,2,Dzordz,1,,,,
"Season 4, 1v1 League",T2 G11,Dzordz,2,Grishous,1,,,,
"Season 4, 1v1 League",T2 G12,Bulldogcoma,1,Dzordz,2,,,,
"Season 4, 1v1 League",T2 G13,Dzordz,1,Bulldogcoma,2,,,,
"Season 4, 1v1 League",T2 G14,Prince Ali,2,Dzordz,1,,,,
"Season 4, 1v1 League",T2 G15,Dzordz,2,Prince Ali,1,,,,
"Season 4, 1v1 League",T2 G16,Grishous,1,Bulldogcoma,2,,,,
"Season 4, 1v1 League",T2 G17,Grishous,2,Bulldogcoma,1,,,,
"Season 4, 1v1 League",T2 G18,Bulldogcoma,1,Prince Ali,2,,,,
"Season 4, 1v1 League",T2 G19,Bulldogcoma,2,Prince Ali,1,,,,
"Season 4, 1v1 League",T2 G20,Noobmaster5000,1,Bulldogcoma,2,,,,
"Season 4, 1v1 League",T2 G21,Bulldogcoma,2,Noobmaster5000,1,,,,
"Season 4, 1v1 League",T2 G22,Dzordz,1,Noobmaster5000,2,,,,
"Season 4, 1v1 League",T2 G23,Dzordz,2,Bulldogcoma,1,,,,
"Season 4, 1v1 League",T2 G24,Grishous,1,Prince Ali,2,,,,
"Season 4, 1v1 League",T2 G25,Prince Ali,1,Grishous,2,,,,
"Season 4, 1v1 League",T2 G26,Prince Ali,1,Noobmaster5000,2,,,,
"Season 4, 1v1 League",T2 G27,Noobmaster5000,1,Prince Ali,2,,,,
"Season 4, 1v1 League",T2 G28,Bulldogcoma,1,ammorning,2,,,,
"Season 4, 1v1 League",T2 G29,ammorning,1,Noobmaster5000,2,,,,
"Season 4, 1v1 League",T2 G30,Grishous,1,Dzordz,2,,,,
"Season 4, 1v1 League",T2 G31,Dzordz,1,Grishous,2,,,,
"Season 4, 1v1 League",T2 G32,Grishous,1,ammorning,2,,,,
"Season 4, 1v1 League",T2 G33,ammorning,1,Grishous,2,,,,
"Season 4, 1v1 League",T2 G34,Prince Ali,2,ammorning,1,,,,
"Season 4, 1v1 League",T2 G35,ammorning,1,Bulldogcoma,2,,,,
"Season 4, 1v1 League",T2 G36,Dzordz,2,ammorning,1,,,,
"Season 4, 1v1 League",T2 G37,ammorning,2,Dzordz,1,,,,
"Season 4, 1v1 League",T2 G38,Dzordz,2,ammorning,1,,,,
"Season 4, 1v1 League",T2 G39,Grishous,1,ammorning,2,,,,
"Season 4, 1v1 League",T2 G40,Grishous,1,Prince Ali,2,,,,
"Season 4, 1v1 League",T2 G41,Prince Ali,2,Grishous,1,,,,
"Season 4, 1v1 League",T2 G42,Noobmaster5000,2,Prince Ali,1,,,,
"Season 4, 1v1 League",T2 G43,Prince Ali,1,Noobmaster5000,2,,,,
"Season 4, 1v1 League",T2 G44,Prince Ali,1,Dzordz,2,,,,
"Season 4, 1v1 League",T2 G45,ammorning,1,Grishous,2,,,,
"Season 4, 1v1 League",T2 G46,Dzordz,2,Prince Ali,1,,,,
"Season 4, 1v1 League",T2 G47,ammorning,2,Bulldogcoma,1,,,,
"Season 4, 1v1 League",T2 G48,ammorning,1,Prince Ali,2,,,,
"Season 4, 1v1 League",T2 G49,Bulldogcoma,2,ammorning,1,,,,
"Season 4, 1v1 League",T2 G50,ammorning,1,Dzordz,2,,,,
"Season 4, 1v1 League",T3 G1,truebroyeti,2,kibitzer,1,,,,
"Season 4, 1v1 League",T3 G2,kibitzer,2,truebroyeti,1,,,,
"Season 4, 1v1 League",T3 G3,kibitzer,1,harryfan007,2,,,,
"Season 4, 1v1 League",T3 G4,harryfan007,2,kibitzer,1,,,,
"Season 4, 1v1 League",T3 G5,harryfan007,1,Meguy1151,2,,,,
"Season 4, 1v1 League",T3 G6,Meguy1151,2,harryfan007,1,,,,
"Season 4, 1v1 League",T3 G7,kibitzer,1,Fish,2,,,,
"Season 4, 1v1 League",T3 G8,Fish,2,kibitzer,1,,,,
"Season 4, 1v1 League",T3 G9,harryfan007,1,Fish,2,,,,
"Season 4, 1v1 League",T3 G10,Fish,1,harryfan007,2,,,,
"Season 4, 1v1 League",T3 G11,truebroyeti,1,Fish,2,,,,
"Season 4, 1v1 League",T3 G12,Fish,2,truebroyeti,1,,,,
"Season 4, 1v1 League",T3 G13,harryfan007,2,truebroyeti,1,,,,
"Season 4, 1v1 League",T3 G14,truebroyeti,1,harryfan007,2,,,,
"Season 4, 1v1 League",T3 G15,harryfan007,2,kibitzer,1,,,,
"Season 4, 1v1 League",T3 G16,kibitzer,1,harryfan007,2,,,,
"Season 4, 1v1 League",T3 G17,Fish,1,harryfan007,2,,,,
"Season 4, 1v1 League",T3 G18,harryfan007,1,Fish,2,,,,
"Season 4, 1v1 League",T3 G19,Ottawa.toronto,1,harryfan007,2,,,,
"Season 4, 1v1 League",T3 G20,harryfan007,2,Ottawa.toronto,1,,,,
"Season 4, 1v1 League",T3 G21,Fish,2,Scuri,1,,,,
"Season 4, 1v1 League",T3 G22,Scuri,1,Fish,2,,,,
"Season 4, 1v1 League",T3 G23,harryfan007,2,Scuri,1,,,,
"Season 4, 1v1 League",T3 G24,Scuri,1,harryfan007,2,,,,
"Season 4, 1v1 League",T3 G25,kibitzer,2,Scuri,1,,,,
"Season 4, 1v1 League",T3 G26,Scuri,2,kibitzer,1,,,,
"Season 4, 1v1 League",T3 G27,Scuri,1,Ottawa.toronto,2,,,,
"Season 4, 1v1 League",T3 G28,Ottawa.toronto,2,Scuri,1,,,,
"Season 4, 1v1 League",T3 G29,truebroyeti,1,harryfan007,2,,,,
"Season 4, 1v1 League",T3 G30,harryfan007,2,truebroyeti,1,,,,
"Season 4, 1v1 League",T3 G31,truebroyeti,1,Scuri,2,,,,
"Season 4, 1v1 League",T3 G32,truebroyeti,1,Ottawa.toronto,2,,,,
"Season 4, 1v1 League",T3 G33,Ottawa.toronto,1,truebroyeti,2,,,,
"Season 4, 1v1 League",T3 G34,truebroyeti,2,kibitzer,1,,,,
"Season 4, 1v1 League",T3 G35,Fish,2,Ottawa.toronto,1,,,,
"Season 4, 1v1 League",T3 G36,kibitzer,1,truebroyeti,2,,,,
"Season 4, 1v1 League",T3 G37,Ottawa.toronto,1,Fish,2,,,,
"Season 4, 1v1 League",T3 G38,Fish,1,Ottawa.toronto,2,,,,
"Season 4, 1v1 League",T3 G39,Scuri,1,Fish,2,,,,
"Season 4, 1v1 League",T3 G40,Fish,2,Scuri,1,,,,
"Season 4, 1v1 League",T3 G41,Fish,2,kibitzer,1,,,,
"Season 4, 1v1 League",T3 G42,kibitzer,1,Fish,2,,,,
"Season 4, 1v1 League",T3 G43,Scuri,1,harryfan007,2,,,,
"Season 4, 1v1 League",T3 G44,harryfan007,2,Scuri,1,,,,
"Season 4, 1v1 League",T3 G45,Scuri,2,kibitzer,1,,,,
"Season 4, 1v1 League",T3 G46,kibitzer,1,Scuri,2,,,,
"Season 4, 1v1 League",T3 G47,Ottawa.toronto,1,Scuri,2,,,,
"Season 4, 1v1 League",T3 G48,Ottawa.toronto,1,Fish,2,,,,
"Season 4, 1v1 League",T3 G49,Scuri,2,truebroyeti,1,,,,
"Season 4, 1v1 League",T3 G50,truebroyeti,2,Scuri,1,,,,
"Season 4, 1v1 League",T3 G51,Scuri,2,truebroyeti,1,,,,
"Season 4, 1v1 League",T3 G52,Fish,1,truebroyeti,2,,,,
"Season 4, 1v1 League",T3 G53,truebroyeti,1,Fish,2,,,,
"Season 4, 1v1 League",T3 G54,truebroyeti,1,Ottawa.toronto,2,,,,
"Season 4, 1v1 League",T3 G55,Scuri,1,Ottawa.toronto,2,,,,
"Season 4, 1v1 League",T3 G56,Ottawa.toronto,2,harryfan007,1,,,,
"Season 4, 1v1 League",T3 G57,harryfan007,1,Ottawa.toronto,2,,,,
"Season 4, 1v1 League",T3 G58,kibitzer,2,Ottawa.toronto,1,,,,
"Season 4, 1v1 League",T3 G59,Ottawa.toronto,2,kibitzer,1,,,,
"Season 4, 1v1 League",T3 G60,Ottawa.toronto,2,truebroyeti,1,,,,
