id,created_at,username,current_rating
42,2024-04-01 19:55:51.4348+00,AxlPrototype,"{""mu"": 32.64542748728179, ""sigma"": 5.137438410495133, ""ordinal"": 1613.5946941391135}"
43,2024-04-01 19:55:51.4348+00,b1tmancer,"{""mu"": 25, ""sigma"": 8.333333333333334, ""ordinal"": 1200}"
44,2024-04-01 19:55:51.4348+00,Räubi,"{""mu"": 25, ""sigma"": 8.333333333333334, ""ordinal"": 1200}"
45,2024-04-01 19:55:51.4348+00,Ryepitch,"{""mu"": 22.202453529492313, ""sigma"": 7.404361655371601, ""ordinal"": 1199.7448455210601}"
46,2024-04-01 19:55:51.4348+00,Egon,"{""mu"": 23.252825034538535, ""sigma"": 7.324751757199152, ""ordinal"": 1230.685674310586}"
47,2024-04-01 19:55:51.4348+00,Ghostpieguy,"{""mu"": 25, ""sigma"": 8.333333333333334, ""ordinal"": 1200}"
48,2024-04-01 19:55:51.4348+00,Bizzusta,"{""mu"": 20.961748311210286, ""sigma"": 7.975225431951375, ""ordinal"": 1128.865728368548}"
49,2024-04-01 19:55:51.4348+00,ShakaSpell,"{""mu"": 26.253849957423526, ""sigma"": 7.724460155279452, ""ordinal"": 1273.931267798044}"
50,2024-04-01 19:55:51.4348+00,Colonel Forbin,"{""mu"": 21.02066397888433, ""sigma"": 7.463443308162405, ""ordinal"": 1167.1280173055306}"
51,2024-04-01 19:55:51.4348+00,CommandoMonkey,"{""mu"": 22.99048251459565, ""sigma"": 7.404742874952619, ""ordinal"": 1218.630093353707}"
52,2024-04-01 19:55:51.4348+00,donuhue,"{""mu"": 25.06248827269599, ""sigma"": 6.1023962504508455, ""ordinal"": 1362.1271885122428}"
53,2024-04-01 19:55:51.4348+00,MP_Invisible,"{""mu"": 21.549440591943238, ""sigma"": 6.5313805994995295, ""ordinal"": 1246.9271710426715}"
54,2024-04-01 19:55:51.4348+00,nobadinohz,"{""mu"": 32.68461831552893, ""sigma"": 3.004141247618657, ""ordinal"": 1768.132669744151}"
55,2024-04-01 19:55:51.4348+00,NormanHologram,"{""mu"": 19.60524948756944, ""sigma"": 7.274209875130984, ""ordinal"": 1146.7828766922357}"
56,2024-04-01 19:55:51.4348+00,Mr. Brasil,"{""mu"": 19.974498058685672, ""sigma"": 5.828051248568947, ""ordinal"": 1259.768263511492}"
57,2024-04-01 19:55:51.4348+00,salmondip,"{""mu"": 16.786184062238817, ""sigma"": 5.5514971506114, ""ordinal"": 1203.1606226497108}"
