id,created_at,username,current_rating
180,2024-04-01 19:55:51.4348+00,kurtdog,"{""mu"": 26.812859246711085, ""sigma"": 4.882923468405016, ""ordinal"": 1491.938132195905}"
181,2024-04-01 19:55:51.4348+00,HarleyQuinn,"{""mu"": 24.290763784655255, ""sigma"": 4.756689331877279, ""ordinal"": 1440.496698936562}"
182,2024-04-01 19:55:51.4348+00,kokeshi,"{""mu"": 29.366563314745413, ""sigma"": 7.464096701036549, ""ordinal"": 1367.3825570792583}"
183,2024-04-01 19:55:51.4348+00,Britta,"{""mu"": 27.648307937252383, ""sigma"": 4.855092597015623, ""ordinal"": 1513.9927235089324}"
184,2024-04-01 19:55:51.4348+00,snow814,"{""mu"": 27.042746957101556, ""sigma"": 7.249933823300455, ""ordinal"": 1327.0306916928046}"
185,2024-04-01 19:55:51.4348+00,Gamer_Gid,"{""mu"": 32.1240016797335, ""sigma"": 5.894386328293308, ""ordinal"": 1546.5802246764858}"
186,2024-04-01 19:55:51.4348+00,Noobmaster5000,"{""mu"": 26.704322710775962, ""sigma"": 7.067439156139449, ""ordinal"": 1332.0481258165828}"
187,2024-04-01 19:55:51.4348+00,Ottawa.toronto,"{""mu"": 25, ""sigma"": 8.333333333333334, ""ordinal"": 1200}"
188,2024-04-01 19:55:51.4348+00,Combat Bluffer,"{""mu"": 25, ""sigma"": 8.333333333333334, ""ordinal"": 1200}"
189,2024-04-01 19:55:51.4348+00,errikos,"{""mu"": 25.13403909471912, ""sigma"": 7.827795228336514, ""ordinal"": 1239.6156818330298}"
190,2024-04-01 19:55:51.4348+00,StarCraft Logan,"{""mu"": 21.736855245279937, ""sigma"": 5.693386716105974, ""ordinal"": 1311.7606823270883}"
191,2024-04-01 19:55:51.4348+00,KingRob,"{""mu"": 24.372793685498717, ""sigma"": 5.345595291940967, ""ordinal"": 1400.0641874322196}"
192,2024-04-01 19:55:51.4348+00,CurryMonster,"{""mu"": 22.614317571685305, ""sigma"": 6.592171259333531, ""ordinal"": 1268.1072910484331}"
193,2024-04-01 19:55:51.4348+00,MooShuPanther,"{""mu"": 25, ""sigma"": 8.333333333333334, ""ordinal"": 1200}"
195,2024-04-01 19:55:51.4348+00,Fish,"{""mu"": 29.183338065842342, ""sigma"": 7.109730273687987, ""ordinal"": 1388.4995338746812}"
196,2024-04-01 19:55:51.4348+00,orangecaffeine,"{""mu"": 20.275354351757894, ""sigma"": 6.052834846208994, ""ordinal"": 1250.804395515142}"
197,2024-04-01 19:55:51.4348+00,TBJ1118,"{""mu"": 27.360655328154696, ""sigma"": 7.371294581280892, ""ordinal"": 1325.9225180234885}"
198,2024-04-01 19:55:51.4348+00,SteveWinwood,"{""mu"": 22.171837050341516, ""sigma"": 6.516270153016015, ""ordinal"": 1262.9526381910432}"
199,2024-04-01 19:55:51.4348+00,qazzaq,"{""mu"": 29.948572122041043, ""sigma"": 5.028329344490273, ""ordinal"": 1556.7260181256854}"
200,2024-04-01 19:55:51.4348+00,aDAMOpl,"{""mu"": 21.587373038709764, ""sigma"": 5.952797430688415, ""ordinal"": 1289.4955379194685}"
201,2024-04-01 19:55:51.4348+00,0,"{""mu"": 25, ""sigma"": 8.333333333333334, ""ordinal"": 1200}"
202,2024-04-01 19:55:51.4348+00,bbScythe,"{""mu"": 34.955510760076805, ""sigma"": 3.379780369027394, ""ordinal"": 1795.588071671871}"
203,2024-04-01 19:55:51.4348+00,ndsurgenor,"{""mu"": 24.392610752001822, ""sigma"": 7.447330732334569, ""ordinal"": 1249.2148453199547}"
194,2024-04-01 19:55:51.4348+00,Grishous,"{""mu"": 28.276490196857438, ""sigma"": 4.887198860979021, ""ordinal"": 1526.757446734089}"
204,2024-12-07 00:00:00+00,Brofessor,"{""mu"": 22.657193678700434, ""sigma"": 5.918761188295821, ""ordinal"": 1317.6218427315114}"
205,2024-12-07 00:00:00+00,Hit Mann,"{""mu"": 31.249331167896504, ""sigma"": 5.57131415798844, ""ordinal"": 1548.8493286543485}"
206,2024-12-07 00:00:00+00,JVswashbuckler,"{""mu"": 24.622788458256725, ""sigma"": 6.484034659332012, ""ordinal"": 1324.0964275262565}"
207,2024-12-07 00:00:00+00,Maarek Stele,"{""mu"": 16.923495931839888, ""sigma"": 6.086144715688687, ""ordinal"": 1167.9614828345718}"
208,2024-12-07 00:00:00+00,TrailDucker,"{""mu"": 21.312022336574554, ""sigma"": 5.938891273655466, ""ordinal"": 1283.8883643745958}"
209,2024-12-07 00:00:00+00,WaveSamu,"{""mu"": 25, ""sigma"": 8.333333333333334, ""ordinal"": 1200}"
210,2024-12-07 00:00:00+00,stillcantfrontlever,"{""mu"": 25, ""sigma"": 8.333333333333334, ""ordinal"": 1200}"
211,2024-12-07 00:00:00+00,whisper0007,"{""mu"": 25, ""sigma"": 8.333333333333334, ""ordinal"": 1200}"
212,2024-12-07 00:00:00+00,CBSchess,"{""mu"": 25, ""sigma"": 8.333333333333334, ""ordinal"": 1200}"
213,2024-12-07 00:00:00+00,Duce,"{""mu"": 32.74676281004157, ""sigma"": 4.735202429583039, ""ordinal"": 1644.9877325110187}"
214,2024-12-07 00:00:00+00,thebluebus,"{""mu"": 25, ""sigma"": 8.333333333333334, ""ordinal"": 1200}"
