game,player,ranking,updated_rating
516,56,2,"{""mu"": 22.910800916898605, ""sigma"": 7.72098953762355, ""ordinal"": 1193.9479752966708}"
517,125,1,"{""mu"": 29.586745286163737, ""sigma"": 7.73358648522285, ""ordinal"": 1353.2636599318844}"
517,180,2,"{""mu"": 27.919141036443918, ""sigma"": 5.88168320228389, ""ordinal"": 1446.5781943102138}"
517,56,2,"{""mu"": 22.27842829098065, ""sigma"": 7.464607556260345, ""ordinal"": 1197.2305349327908}"
518,148,1,"{""mu"": 48.72756719563242, ""sigma"": 4.494071256539187, ""ordinal"": 2045.8884822243567}"
518,172,2,"{""mu"": 24.233016825772495, ""sigma"": 5.5883659458513115, ""ordinal"": 1379.2300557172455}"
518,92,2,"{""mu"": 33.39716446359782, ""sigma"": 4.611593244370898, ""ordinal"": 1669.497233531643}"
519,148,2,"{""mu"": 46.68010990667605, ""sigma"": 4.4527396742439995, ""ordinal"": 1999.7253812146573}"
519,172,2,"{""mu"": 25.1216964611717, ""sigma"": 5.530800410668448, ""ordinal"": 1404.7030854999925}"
519,92,1,"{""mu"": 34.94783523128224, ""sigma"": 4.587735367580794, ""ordinal"": 1708.4310990849567}"
520,148,2,"{""mu"": 44.816293022397616, ""sigma"": 4.405881266585496, ""ordinal"": 1958.367581343387}"
520,172,2,"{""mu"": 25.886599997965835, ""sigma"": 5.46388188237427, ""ordinal"": 1427.8789044202326}"
520,92,1,"{""mu"": 36.39999046504493, ""sigma"": 4.5595386605339625, ""ordinal"": 1745.312987602633}"
521,20,2,"{""mu"": 36.873479349374314, ""sigma"": 4.75449958763306, ""ordinal"": 1742.6395340754034}"
521,114,1,"{""mu"": 29.661036170460054, ""sigma"": 5.306297334425597, ""ordinal"": 1529.8114600123984}"
521,125,2,"{""mu"": 29.112922440411086, ""sigma"": 7.368547543363998, ""ordinal"": 1368.1747154476582}"
522,20,2,"{""mu"": 35.76246448057953, ""sigma"": 4.692555381220122, ""ordinal"": 1720.43516008606}"
522,114,2,"{""mu"": 29.37403042569886, ""sigma"": 5.2204021914023855, ""ordinal"": 1529.1077724358008}"
522,125,1,"{""mu"": 32.334361135545905, ""sigma"": 7.224976917221179, ""ordinal"": 1455.826329213177}"
523,20,1,"{""mu"": 36.78531988928888, ""sigma"": 4.662050944709499, ""ordinal"": 1747.1800093238492}"
523,114,2,"{""mu"": 28.947092344054305, ""sigma"": 5.135303013921287, ""ordinal"": 1524.9883992549708}"
523,125,2,"{""mu"": 30.727713366879968, ""sigma"": 6.884627888236881, ""ordinal"": 1441.7719128520637}"
524,129,2,"{""mu"": 30.402982083218916, ""sigma"": 5.111064702940779, ""ordinal"": 1561.674911385518}"
524,64,2,"{""mu"": 29.71702640998403, ""sigma"": 5.709177296959698, ""ordinal"": 1502.1478684585186}"
524,85,1,"{""mu"": 30.202517822402235, ""sigma"": 5.235217100326141, ""ordinal"": 1547.9247965141715}"
525,129,2,"{""mu"": 29.611120180355748, ""sigma"": 5.011028799414066, ""ordinal"": 1549.8728107707252}"
525,64,2,"{""mu"": 28.863611417514374, ""sigma"": 5.554564989953905, ""ordinal"": 1492.7979947436638}"
525,85,1,"{""mu"": 31.750935912579653, ""sigma"": 5.184041959678598, ""ordinal"": 1588.7714408050526}"
526,129,2,"{""mu"": 29.021794199790694, ""sigma"": 4.917270758485059, ""ordinal"": 1542.4795661840524}"
526,64,1,"{""mu"": 30.726864833814634, ""sigma"": 5.491196956169607, ""ordinal"": 1542.0785751673395}"
526,85,2,"{""mu"": 30.758629779094726, ""sigma"": 5.071887291090793, ""ordinal"": 1573.0312297397363}"
527,17,2,"{""mu"": 32.668187582759465, ""sigma"": 4.550592223064612, ""ordinal"": 1656.393861925575}"
527,101,2,"{""mu"": 35.48698793827489, ""sigma"": 4.43262184383652, ""ordinal"": 1732.538937762368}"
527,202,1,"{""mu"": 37.9991051325691, ""sigma"": 4.386297612600846, ""ordinal"": 1796.1650950743974}"
528,17,2,"{""mu"": 32.30336370551676, ""sigma"": 4.471726346646308, ""ordinal"": 1653.316431973868}"
528,101,2,"{""mu"": 34.7507981948482, ""sigma"": 4.356396665300894, ""ordinal"": 1720.3585967746924}"
528,202,1,"{""mu"": 39.058958106431525, ""sigma"": 4.348753768841863, ""ordinal"": 1824.3047231977425}"
529,17,1,"{""mu"": 33.752987448900434, ""sigma"": 4.440758086579784, ""ordinal"": 1690.337116539866}"
529,101,2,"{""mu"": 34.38555218499288, ""sigma"": 4.286162410913842, ""ordinal"": 1716.6495588540326}"
529,202,2,"{""mu"": 38.051906178921065, ""sigma"": 4.27319140664944, ""ordinal"": 1805.575967015346}"
530,190,2,"{""mu"": 23.138611669955708, ""sigma"": 7.1469301709832695, ""ordinal"": 1240.7477077681415}"
530,116,1,"{""mu"": 27.987142731298057, ""sigma"": 4.971206934133887, ""ordinal"": 1513.7645262935134}"
530,121,2,"{""mu"": 22.733241291032904, ""sigma"": 5.4241325018799555, ""ordinal"": 1355.060250849433}"
531,190,2,"{""mu"": 22.343436597956703, ""sigma"": 6.845379158018424, ""ordinal"": 1243.3751789736343}"
531,116,2,"{""mu"": 26.955739041923284, ""sigma"": 4.896121642577511, ""ordinal"": 1494.416978740578}"
531,121,1,"{""mu"": 24.419159015493555, ""sigma"": 5.380209787372683, ""ordinal"": 1398.6847116810122}"
532,190,2,"{""mu"": 21.649651445665274, ""sigma"": 6.582189749576336, ""ordinal"": 1245.6739727264703}"
532,116,2,"{""mu"": 25.998060139563073, ""sigma"": 4.822326067833195, ""ordinal"": 1476.7459664655237}"
532,121,1,"{""mu"": 26.004132909478752, ""sigma"": 5.331475421608655, ""ordinal"": 1440.2329594716668}"
533,54,2,"{""mu"": 23.02419253781832, ""sigma"": 7.234583952828483, ""ordinal"": 1231.6905763039888}"
533,126,2,"{""mu"": 23.08720445577189, ""sigma"": 7.233739350436464, ""ordinal"": 1233.2636737071}"
533,180,1,"{""mu"": 29.407180522036317, ""sigma"": 5.831228649656892, ""ordinal"": 1485.9238697535754}"
534,54,1,"{""mu"": 25.75899193879749, ""sigma"": 7.12984539635663, ""ordinal"": 1304.8669379934624}"
534,126,2,"{""mu"": 22.453569858925025, ""sigma"": 7.002452957874597, ""ordinal"": 1234.7090636472296}"
534,180,2,"{""mu"": 28.042114604616778, ""sigma"": 5.724609380584996, ""ordinal"": 1460.838875108683}"
535,54,1,"{""mu"": 28.238828592438455, ""sigma"": 7.014383946866525, ""ordinal"": 1372.696242044133}"
535,126,2,"{""mu"": 21.86576781342831, ""sigma"": 6.79185140464801, ""ordinal"": 1235.7651263876228}"
535,180,2,"{""mu"": 26.836213598525408, ""sigma"": 5.6217072398553976, ""ordinal"": 1439.3062050950211}"
536,178,2,"{""mu"": 26.1703361093614, ""sigma"": 7.289459478784854, ""ordinal"": 1303.2469841521643}"
536,199,1,"{""mu"": 35.29731323604881, ""sigma"": 5.952152530279627, ""ordinal"": 1618.5805354850381}"
536,10,2,"{""mu"": 25.011690992710744, ""sigma"": 5.518602156923806, ""ordinal"": 1402.941228526544}"
537,178,1,"{""mu"": 29.197634068657074, ""sigma"": 7.169152946947046, ""ordinal"": 1384.5642054675825}"
537,199,2,"{""mu"": 33.40386866973761, ""sigma"": 5.820896393328724, ""ordinal"": 1582.5883077540345}"
537,10,2,"{""mu"": 24.904137650081015, ""sigma"": 5.436988994511985, ""ordinal"": 1406.2360959970815}"
538,178,1,"{""mu"": 31.893528272856727, ""sigma"": 7.034568355819524, ""ordinal"": 1458.9557569295557}"
538,199,2,"{""mu"": 31.81653360996133, ""sigma"": 5.6944705714430075, ""ordinal"": 1553.5949254951752}"
538,10,2,"{""mu"": 24.73834022853723, ""sigma"": 5.355428842638696, ""ordinal"": 1408.1292888149073}"
539,122,2,"{""mu"": 33.76481102646358, ""sigma"": 4.61239202464315, ""ordinal"": 1678.2632388608192}"
539,175,2,"{""mu"": 25.598750351059767, ""sigma"": 7.238328273328854, ""ordinal"": 1293.210372745757}"
539,103,1,"{""mu"": 24.157184365152006, ""sigma"": 5.658479827488157, ""ordinal"": 1372.3618771845008}"
540,122,1,"{""mu"": 34.606521652858966, ""sigma"": 4.5844956085616015, ""ordinal"": 1700.47283585218}"
540,175,2,"{""mu"": 24.383533393211994, ""sigma"": 6.925277802759741, ""ordinal"": 1286.5847996383866}"
540,103,2,"{""mu"": 23.6332176400474, ""sigma"": 5.547117777854234, ""ordinal"": 1367.8047433556326}"
541,122,2,"{""mu"": 33.326052705385585, ""sigma"": 4.531241210399319, ""ordinal"": 1673.575897780503}"
541,175,1,"{""mu"": 27.356535153117594, ""sigma"": 6.8139587630467044, ""ordinal"": 1365.9518127354595}"
541,103,2,"{""mu"": 23.600058853605336, ""sigma"": 5.450923517369423, ""ordinal"": 1373.9349192359296}"
542,106,1,"{""mu"": 28.984231408705988, ""sigma"": 7.429472594146459, ""ordinal"": 1360.6995270303987}"
542,155,2,"{""mu"": 20.78682812338308, ""sigma"": 7.188568949766727, ""ordinal"": 1181.3069105779896}"
542,40,2,"{""mu"": 21.155691058292607, ""sigma"": 7.199641482427763, ""ordinal"": 1189.3623986642237}"
543,106,2,"{""mu"": 26.694474742702873, ""sigma"": 7.187096080787667, ""ordinal"": 1323.1964760081569}"
543,155,2,"{""mu"": 20.33573719087177, ""sigma"": 7.00092913958555, ""ordinal"": 1183.990794530763}"
543,40,1,"{""mu"": 23.75847048190324, ""sigma"": 7.112854041284837, ""ordinal"": 1258.0778005931695}"
544,106,2,"{""mu"": 25.03254948067951, ""sigma"": 6.9590262508153735, ""ordinal"": 1299.7312974776014}"
544,155,1,"{""mu"": 22.87641501139229, ""sigma"": 6.921079769167976, ""ordinal"": 1250.7162168933205}"
544,40,2,"{""mu"": 22.76369062300124, ""sigma"": 6.903199489127768, ""ordinal"": 1249.2982117348304}"
545,97,2,"{""mu"": 21.952084569583178, ""sigma"": 7.235379622503465, ""ordinal"": 1205.902696849747}"
545,32,1,"{""mu"": 24.054051683694144, ""sigma"": 7.149425175824969, ""ordinal"": 1262.5386277492617}"
545,77,2,"{""mu"": 20.6454595425608, ""sigma"": 7.178270008891095, ""ordinal"": 1178.6555883813003}"
546,97,2,"{""mu"": 20.89978427652253, ""sigma"": 7.017187523243912, ""ordinal"": 1196.357320962979}"
546,32,2,"{""mu"": 22.585679853079185, ""sigma"": 6.934676223176091, ""ordinal"": 1242.759628405222}"
546,77,1,"{""mu"": 23.161458363476005, ""sigma"": 7.085038065367963, ""ordinal"": 1245.7522600169307}"
547,97,2,"{""mu"": 19.94751164494554, ""sigma"": 6.816912172352079, ""ordinal"": 1187.9226030693433}"
547,32,2,"{""mu"": 21.32210457555072, ""sigma"": 6.738020636680444, ""ordinal"": 1226.5930239722254}"
547,77,1,"{""mu"": 25.45118937066819, ""sigma"": 6.982394297643554, ""ordinal"": 1308.0961554657006}"
548,96,1,"{""mu"": 27.877014712636633, ""sigma"": 7.216788376909587, ""ordinal"": 1349.4395899657889}"
548,151,2,"{""mu"": 16.066054546101224, ""sigma"": 5.353796753442479, ""ordinal"": 1200.111942858571}"
548,56,2,"{""mu"": 20.474288679801724, ""sigma"": 7.1878148271020175, ""ordinal"": 1173.8602607638961}"
549,96,1,"{""mu"": 29.793420130368148, ""sigma"": 7.080657961054143, ""ordinal"": 1405.2347099329372}"
549,151,2,"{""mu"": 15.793240908744647, ""sigma"": 5.286912027983489, ""ordinal"": 1198.3801157950602}"
549,56,2,"{""mu"": 19.06492565844497, ""sigma"": 6.944773815003192, ""ordinal"": 1157.5345011224495}"
550,96,2,"{""mu"": 26.99046675764495, ""sigma"": 6.833916274570865, ""ordinal"": 1355.7292304143764}"
550,151,1,"{""mu"": 17.478310055367253, ""sigma"": 5.261769181039289, ""ordinal"": 1240.6320602939852}"
550,56,2,"{""mu"": 18.854080122413748, ""sigma"": 6.746850101750488, ""ordinal"": 1166.724715611895}"
551,150,2,"{""mu"": 16.115681976220735, ""sigma"": 5.122747771124811, ""ordinal"": 1217.9385279083112}"
551,11,2,"{""mu"": 30.91414231744397, ""sigma"": 4.903933013106263, ""ordinal"": 1588.8562386750045}"
551,99,1,"{""mu"": 40.722626282644256, ""sigma"": 4.298164323469376, ""ordinal"": 1867.875199493667}"
552,150,2,"{""mu"": 16.648479375792054, ""sigma"": 5.063640572209014, ""ordinal"": 1234.9813838199602}"
552,11,2,"{""mu"": 29.680735031734752, ""sigma"": 4.825383751439568, ""ordinal"": 1564.9100106579851}"
552,99,1,"{""mu"": 41.29509788253457, ""sigma"": 4.270013156031231, ""ordinal"": 1883.641401946581}"
553,150,1,"{""mu"": 18.8274369720625, ""sigma"": 5.047382930948396, ""ordinal"": 1288.4469163012154}"
553,11,2,"{""mu"": 29.69193686834125, ""sigma"": 4.747959074480692, ""ordinal"": 1570.7534314775803}"
553,99,2,"{""mu"": 39.73669110667437, ""sigma"": 4.218808886573184, ""ordinal"": 1849.9263467269157}"
554,92,2,"{""mu"": 35.45725156769338, ""sigma"": 4.480045308882972, ""ordinal"": 1728.4107753850672}"
554,85,2,"{""mu"": 30.550237789078206, ""sigma"": 4.965981521886913, ""ordinal"": 1575.6550373620191}"
554,202,1,"{""mu"": 39.02793319756488, ""sigma"": 4.241667045100968, ""ordinal"": 1831.2703694942875}"
555,92,2,"{""mu"": 34.9931375852556, ""sigma"": 4.404096704216611, ""ordinal"": 1722.7403393425384}"
555,85,1,"{""mu"": 32.37133850235344, ""sigma"": 4.925645996038805, ""ordinal"": 1622.2656123416887}"
555,202,2,"{""mu"": 38.11524100963446, ""sigma"": 4.177263898384793, ""ordinal"": 1814.002783547522}"
556,92,2,"{""mu"": 34.297378657972466, ""sigma"": 4.331780679258593, ""ordinal"": 1711.2488788847204}"
556,85,2,"{""mu"": 31.940222845824668, ""sigma"": 4.819107145236365, ""ordinal"": 1619.5896338427738}"
556,202,1,"{""mu"": 39.051299098511336, ""sigma"": 4.146986994476507, ""ordinal"": 1838.6481147619634}"
557,148,2,"{""mu"": 43.336549663152795, ""sigma"": 4.348940817102878, ""ordinal"": 1926.9534530842598}"
557,20,1,"{""mu"": 38.20482120862019, ""sigma"": 4.628315941486202, ""ordinal"": 1783.676961219878}"
557,64,2,"{""mu"": 31.0559846061885, ""sigma"": 5.389612629986042, ""ordinal"": 1557.2915211895288}"
558,148,1,"{""mu"": 44.17550761768192, ""sigma"": 4.316209684673309, ""ordinal"": 1949.4450855278878}"
558,20,2,"{""mu"": 37.276223048998176, ""sigma"": 4.552410028696015, ""ordinal"": 1766.8558311098432}"
558,64,2,"{""mu"": 31.026737364206557, ""sigma"": 5.273919805706911, ""ordinal"": 1564.9194707300599}"
559,148,2,"{""mu"": 42.982976862211316, ""sigma"": 4.253281486298571, ""ordinal"": 1925.3551776795744}"
559,20,2,"{""mu"": 37.01543433799033, ""sigma"": 4.481230206892119, ""ordinal"": 1765.7218492155353}"
559,64,1,"{""mu"": 33.15694976661385, ""sigma"": 5.23372843506578, ""ordinal"": 1618.9383470739963}"
560,114,1,"{""mu"": 30.317230643079295, ""sigma"": 5.0838380187568095, ""ordinal"": 1561.577198083413}"
560,172,2,"{""mu"": 25.121395702178614, ""sigma"": 5.3344897281750985, ""ordinal"": 1418.8302364236797}"
560,121,2,"{""mu"": 25.255918369799687, ""sigma"": 5.214041383526591, ""ordinal"": 1430.731061261278}"
561,114,2,"{""mu"": 29.09662160696195, ""sigma"": 4.978552910149756, ""ordinal"": 1539.8631090363042}"
561,172,1,"{""mu"": 26.896009642722735, ""sigma"": 5.282057985728511, ""ordinal"": 1465.1960564528927}"
561,121,2,"{""mu"": 24.844434256270144, ""sigma"": 5.107981512048433, ""ordinal"": 1428.4917532829963}"
562,114,1,"{""mu"": 30.401938156572943, ""sigma"": 4.929838772988854, ""ordinal"": 1574.6981241025533}"
562,172,2,"{""mu"": 25.986610037623787, ""sigma"": 5.1594507325389465, ""ordinal"": 1452.1981881601669}"
562,121,2,"{""mu"": 24.320846821710088, ""sigma"": 5.005953657692086, ""ordinal"": 1423.271660367212}"
563,125,2,"{""mu"": 29.594946903276263, ""sigma"": 6.64791301622059, ""ordinal"": 1431.6289885107478}"
563,178,2,"{""mu"": 30.42713593192877, ""sigma"": 6.771040882259129, ""ordinal"": 1442.7363188436332}"
563,129,1,"{""mu"": 30.31635951326462, ""sigma"": 4.8911742518816475, ""ordinal"": 1575.4280821828722}"
564,125,1,"{""mu"": 31.927094835847353, ""sigma"": 6.548341755970546, ""ordinal"": 1494.7696696304572}"
564,178,2,"{""mu"": 29.20462862089064, ""sigma"": 6.534129251563818, ""ordinal"": 1430.4537807887805}"
564,129,2,"{""mu"": 29.691758138380493, ""sigma"": 4.828060450264528, ""ordinal"": 1564.9818429020859}"
565,125,2,"{""mu"": 30.500847691352448, ""sigma"": 6.327584506536735, ""ordinal"": 1476.4342601218138}"
565,178,1,"{""mu"": 31.54356517395222, ""sigma"": 6.439349393052179, ""ordinal"": 1493.4124078750965}"
565,129,2,"{""mu"": 29.19001198532124, ""sigma"": 4.7665529454651265, ""ordinal"": 1557.3684755742206}"
566,54,2,"{""mu"": 27.70652874348809, ""sigma"": 6.705595011510652, ""ordinal"": 1382.1538490149474}"
566,122,1,"{""mu"": 34.410270284865334, ""sigma"": 4.502657218585815, ""ordinal"": 1701.6551670985893}"
566,17,2,"{""mu"": 32.92501838561456, ""sigma"": 4.38644332464071, ""ordinal"": 1674.3765218806184}"
567,54,2,"{""mu"": 27.356548488915795, ""sigma"": 6.442518731504632, ""ordinal"": 1392.6958150656455}"
567,122,2,"{""mu"": 33.458020376540404, ""sigma"": 4.4421669790915885, ""ordinal"": 1683.1564665423753}"
567,17,1,"{""mu"": 33.97855425442883, ""sigma"": 4.3604054078707515, ""ordinal"": 1701.5361127395977}"
568,54,1,"{""mu"": 30.1590732932175, ""sigma"": 6.344145631283718, ""ordinal"": 1467.0392735847922}"
568,122,2,"{""mu"": 32.82618409433197, ""sigma"": 4.38040621069968, ""ordinal"": 1672.4391710935904}"
568,17,2,"{""mu"": 33.303316143414584, ""sigma"": 4.302686819767216, ""ordinal"": 1689.4861364187104}"
569,77,2,"{""mu"": 24.664358366550935, ""sigma"": 6.753314006303496, ""ordinal"": 1305.7059923433708}"
569,99,1,"{""mu"": 40.28021830395014, ""sigma"": 4.2020621902262345, ""ordinal"": 1864.1767615985145}"
569,106,2,"{""mu"": 24.33558923640786, ""sigma"": 6.735214734407384, ""ordinal"": 1299.118680796457}"
570,77,2,"{""mu"": 23.974947622434467, ""sigma"": 6.546003922928414, ""ordinal"": 1304.0864604875815}"
570,99,1,"{""mu"": 40.78950441083393, ""sigma"": 4.185094963691708, ""ordinal"": 1877.6212684742113}"
570,106,2,"{""mu"": 23.71322663512647, ""sigma"": 6.531717166656828, ""ordinal"": 1298.8338032437437}"
571,77,2,"{""mu"": 23.367338340551033, ""sigma"": 6.357514904908205, ""ordinal"": 1303.075047019834}"
571,99,1,"{""mu"": 41.266550016506834, ""sigma"": 4.168081406476125, ""ordinal"": 1890.2953391298831}"
571,106,2,"{""mu"": 23.156464145283103, ""sigma"": 6.346034002577797, ""ordinal"": 1298.8406913011931}"
572,96,2,"{""mu"": 25.65116062010379, ""sigma"": 6.555503308130864, ""ordinal"": 1343.6316166970687}"
572,101,1,"{""mu"": 35.12587052410895, ""sigma"": 4.263204726629215, ""ordinal"": 1736.0701522613113}"
572,103,2,"{""mu"": 23.25503380621792, ""sigma"": 5.348589041514244, ""ordinal"": 1373.0224003602045}"
573,96,2,"{""mu"": 25.43850839414495, ""sigma"": 6.3331653098098215, ""ordinal"": 1354.5362991531717}"
573,101,2,"{""mu"": 33.9988027966155, ""sigma"": 4.218597090373191, ""ordinal"": 1712.2322766119023}"
573,103,1,"{""mu"": 25.170366951885367, ""sigma"": 5.30992811455577, ""ordinal"": 1421.7739825972333}"
574,96,2,"{""mu"": 24.576225800190173, ""sigma"": 6.113999543072023, ""ordinal"": 1349.6214521033785}"
574,101,1,"{""mu"": 34.738462119766076, ""sigma"": 4.194976677936953, ""ordinal"": 1731.684770062925}"
574,103,2,"{""mu"": 24.60488463104883, ""sigma"": 5.203492496231575, ""ordinal"": 1415.8657714164985}"
575,199,1,"{""mu"": 33.292182477776976, ""sigma"": 5.632928004527402, ""ordinal"": 1593.4415631406744}"
575,175,2,"{""mu"": 26.241457687134407, ""sigma"": 6.571763467433538, ""ordinal"": 1356.628014836011}"
575,180,2,"{""mu"": 26.15708163072862, ""sigma"": 5.511978447184109, ""ordinal"": 1430.907510940231}"
576,199,1,"{""mu"": 34.63770709801046, ""sigma"": 5.569687266155954, ""ordinal"": 1630.2874871890222}"
576,175,2,"{""mu"": 25.31693501563002, ""sigma"": 6.358286734139173, ""ordinal"": 1349.8097955171}"
576,180,2,"{""mu"": 25.51913245996136, ""sigma"": 5.407606821374687, ""ordinal"": 1423.1114879000952}"
577,199,2,"{""mu"": 32.897588077088, ""sigma"": 5.449880474912058, ""ordinal"": 1597.150719656444}"
577,175,2,"{""mu"": 25.116197948660737, ""sigma"": 6.182959575015032, ""ordinal"": 1357.6156613667754}"
577,180,1,"{""mu"": 27.30467741114882, ""sigma"": 5.366144849000731, ""ordinal"": 1468.949828739519}"
578,116,1,"{""mu"": 27.073401077144066, ""sigma"": 4.79346732491205, ""ordinal"": 1504.63197845779}"
578,40,2,"{""mu"": 21.560812557550626, ""sigma"": 6.659835946581299, ""ordinal"": 1237.9513132273614}"
578,126,2,"{""mu"": 20.89738454383348, ""sigma"": 6.568190937368485, ""ordinal"": 1228.6274815614727}"
579,116,1,"{""mu"": 28.08018328925263, ""sigma"": 4.762668590254855, ""ordinal"": 1531.0122604437136}"
579,40,2,"{""mu"": 20.51873662200282, ""sigma"": 6.441135507793307, ""ordinal"": 1228.6879223669496}"
579,126,2,"{""mu"": 20.02096345315786, ""sigma"": 6.364432519504907, ""ordinal"": 1222.2639814714353}"
580,116,1,"{""mu"": 29.017750217569624, ""sigma"": 4.7305419112565685, ""ordinal"": 1555.826987611198}"
580,40,2,"{""mu"": 19.61145948690302, ""sigma"": 6.243863411793125, ""ordinal"": 1221.1168620365675}"
580,126,2,"{""mu"": 19.232737660115696, ""sigma"": 6.178663589990384, ""ordinal"": 1216.7219253634692}"
581,155,2,"{""mu"": 21.556524998200977, ""sigma"": 6.706302941588791, ""ordinal"": 1234.5027881624305}"
581,32,1,"{""mu"": 23.57606167544359, ""sigma"": 6.651732456445147, ""ordinal"": 1286.9007433465954}"
581,190,2,"{""mu"": 20.692544245446545, ""sigma"": 6.410593584748232, ""ordinal"": 1235.0583237888443}"
582,155,2,"{""mu"": 20.428721380985547, ""sigma"": 6.5116974157997785, ""ordinal"": 1221.4470992060692}"
582,32,1,"{""mu"": 25.624849385736738, ""sigma"": 6.558481761863127, ""ordinal"": 1342.7856984035366}"
582,190,2,"{""mu"": 19.82013870665619, ""sigma"": 6.251154660319547, ""ordinal"": 1225.6001934167411}"
583,155,2,"{""mu"": 19.80736130156967, ""sigma"": 6.338592286231569, ""ordinal"": 1218.998026628999}"
583,32,2,"{""mu"": 23.91845363763121, ""sigma"": 6.364542850934725, ""ordinal"": 1315.795802035849}"
583,190,1,"{""mu"": 21.94302463763206, ""sigma"": 6.186012968767693, ""ordinal"": 1281.2396575518956}"
584,10,2,"{""mu"": 24.18945587660668, ""sigma"": 5.2288332536001985, ""ordinal"": 1404.070946779346}"
584,151,1,"{""mu"": 19.48005560083025, ""sigma"": 5.225778067861243, ""ordinal"": 1291.2653135339165}"
584,11,2,"{""mu"": 28.493404551705844, ""sigma"": 4.665106487820127, ""ordinal"": 1547.954042117891}"
585,10,2,"{""mu"": 23.169732236383663, ""sigma"": 5.110793383050445, ""ordinal"": 1388.0964500935759}"
585,151,2,"{""mu"": 19.217301540051718, ""sigma"": 5.12135941270822, ""ordinal"": 1292.4773592462493}"
585,11,1,"{""mu"": 29.514568924373965, ""sigma"": 4.625175038619738, ""ordinal"": 1575.337051404354}"
586,10,2,"{""mu"": 22.294242402636495, ""sigma"": 5.002046728853288, ""ordinal"": 1374.9144531858392}"
586,151,2,"{""mu"": 18.946474543400065, ""sigma"": 5.02254194899861, ""ordinal"": 1293.0923687137017}"
586,11,1,"{""mu"": 30.452534379400426, ""sigma"": 4.5852114045637915, ""ordinal"": 1600.7256039770173}"
587,150,2,"{""mu"": 18.19550976594824, ""sigma"": 4.978656214415083, ""ordinal"": 1278.2289869448718}"
587,97,1,"{""mu"": 22.258609661966183, ""sigma"": 6.704854001343534, ""ordinal"": 1251.457143790454}"
587,56,2,"{""mu"": 17.719211976076085, ""sigma"": 6.523507824274485, ""ordinal"": 1155.568524078063}"
588,150,1,"{""mu"": 19.549638230784446, ""sigma"": 4.948653975566441, ""ordinal"": 1312.888231298043}"
588,97,2,"{""mu"": 20.508538299642083, ""sigma"": 6.468882472344456, ""ordinal"": 1226.4453811826093}"
588,56,2,"{""mu"": 17.051315332940167, ""sigma"": 6.328727246188255, ""ordinal"": 1153.5632062650095}"
589,150,2,"{""mu"": 18.915516706806205, ""sigma"": 4.877318382249105, ""ordinal"": 1302.8054774414134}"
589,97,2,"{""mu"": 19.20779333624804, ""sigma"": 6.253670538684638, ""ordinal"": 1210.722761284659}"
589,56,1,"{""mu"": 19.333326781637872, ""sigma"": 6.247172979573404, ""ordinal"": 1214.2033882300238}"
590,202,1,"{""mu"": 40.11624933009526, ""sigma"": 4.119364492841358, ""ordinal"": 1866.1957404377083}"
590,114,2,"{""mu"": 30.664780649248318, ""sigma"": 4.852809985506215, ""ordinal"": 1586.5524166255123}"
590,148,2,"{""mu"": 41.66708769866728, ""sigma"": 4.19419079439466, ""ordinal"": 1898.0283675715991}"
591,202,2,"{""mu"": 39.14477795531587, ""sigma"": 4.064623322410596, ""ordinal"": 1846.8217917140178}"
591,114,2,"{""mu"": 30.782777518243467, ""sigma"": 4.771590993138936, ""ordinal"": 1595.2321089318398}"
591,148,1,"{""mu"": 42.58600740673707, ""sigma"": 4.1617402183094026, ""ordinal"": 1922.4188820434126}"
592,202,2,"{""mu"": 38.284687374774975, ""sigma"": 4.0118750536595575, ""ordinal"": 1829.9774931311113}"
592,114,2,"{""mu"": 30.853702643307173, ""sigma"": 4.692313646524563, ""ordinal"": 1602.6422808896036}"
592,148,1,"{""mu"": 43.43371300198096, ""sigma"": 4.129347375491772, ""ordinal"": 1945.0961010121355}"
593,85,1,"{""mu"": 33.6918765347186, ""sigma"": 4.783750471751463, ""ordinal"": 1664.175002867141}"
593,99,2,"{""mu"": 40.32026411932554, ""sigma"": 4.1066850589404895, ""ordinal"": 1872.0050146200979}"
593,20,2,"{""mu"": 36.59448049619616, ""sigma"": 4.4041206499427865, ""ordinal"": 1761.1708451128272}"
594,85,1,"{""mu"": 35.34438451630663, ""sigma"": 4.743740863228994, ""ordinal"": 1706.7158862388715}"
594,99,2,"{""mu"": 39.46501577874327, ""sigma"": 4.047711002948645, ""ordinal"": 1855.725186477536}"
594,20,2,"{""mu"": 36.17733749462852, ""sigma"": 4.330840128245312, ""ordinal"": 1756.435610637422}"
595,85,1,"{""mu"": 36.890319822563306, ""sigma"": 4.699786616413959, ""ordinal"": 1746.9830393597144}"
595,99,2,"{""mu"": 38.692813715378655, ""sigma"": 3.9912817410133146, ""ordinal"": 1841.255243816129}"
595,20,2,"{""mu"": 35.77269131650341, ""sigma"": 4.261343046849594, ""ordinal"": 1751.7278922229111}"
596,92,1,"{""mu"": 35.22540471200134, ""sigma"": 4.304514284454661, ""ordinal"": 1735.4846846072967}"
596,54,2,"{""mu"": 29.02891473509965, ""sigma"": 6.09866227229917, ""ordinal"": 1457.5902700368515}"
596,116,2,"{""mu"": 28.539523340424275, ""sigma"": 4.658069877529444, ""ordinal"": 1549.5675289880626}"
