Ranking,Player,Elo
1,JoyDivision,2007.19
2,Mr. Der,1846.34
3,bbScythe,1830.84
4,Nevic,1823.2
5,morewhales,1801.75
6,nobadinohz,1796.99
7,N00dles,1782.1
8,dAy,1774.43
9,Zottelschratz,1764.42
10,Germy,1747.24
11,FOMOF,1745.18
12,poserLX,1718.75
13,EchoPapa,1700.56
14,AviDMeher,1695.8
15,Prince Ali,1652.82
16,JoeyTyke,1644.7
17,Hugu,1643.16
18,releasethecralkin,1633.07
19,Zuelo,1624.93
20,AxlPrototype,1613.59
21,symphonous,1608.46
22,bearly_trying,1604.11
23,K̦lsch,1592.66
24,Halloworhorcrux,1584.08
25,echostaffel,1576.44
26,qazzaq,1556.73
27,Feast4Crows,1548.17
28,Gamer_Gid,1546.58
29,Awedish,1545.54
30,ammorning,1534.42
31,onyablock,1530.63
32,CabelReady,1519.46
33,ninjew,1507.51
34,Fllyingmustang,1507.01
35,caitlin,1496.84
36,Albionwolf,1496.07
37,Britta,1494.68
38,kurtdog,1491.94
39,Marty,1481.48
40,FibausmHochhaus,1480.97
41,adityakarthik,1476.69
42,clime,1476.51
43,erewego,1454.9
44,chrisgoering,1454.54
45,Timislove,1450.83
46,Fresh Meat,1449.84
47,thenobleknave,1448.64
48,Scuri,1445.97
49,NoblaSalebla,1442.12
50,RimbaBoss,1433.92
51,viamer,1432.32
52,Tayzer Wayne,1428.94
53,Plamax,1428.43
54,SniffThis1,1426.21
55,Woodpecker,1424.73
56,zevgon,1403.15
57,KingRob,1400.06
58,Zesix,1389.51
59,Fish,1388.5
60,harryfan007,1388.11
61,Sophrosyne36,1383.17
62,HeroofCanton,1382.17
63,Paju,1376.48
64,moerichuk,1375.98
65,KajDar,1375.83
66,Svaho,1374.39
67,KennyRob,1374.2
68,SuaveJ,1373.56
69,MR_Munch,1373.47
70,smedley,1371.36
71,Kuk!,1368.82
72,kokeshi,1367.38
73,Grishous,1364.75
74,donuhue,1362.13
75,truebroyeti,1354.68
76,Cowpanda,1354.39
77,Gharr,1350.32
78,quangson,1347.43
79,Pascal,1346.89
80,Northcreature,1346.09
81,Angry_Meeple,1345.68
82,tomeleoon,1344.81
83,KingDaDaDog,1333.48
84,Zahart,1333.19
85,Noobmaster5000,1332.05
86,bennyflips,1329.65
87,snow814,1327.03
88,TBJ1118,1325.92
89,LYB,1320.57
90,Marspivak,1320.37
91,mrdoublehelix,1320.01
92,twho,1319.57
93,Ghostwheel,1319.1
94,daveedojr,1318.71
95,jay,1316.44
96,StarCraft Logan,1311.76
97,dankynugz,1311.69
98,Video Game Muso,1309.82
99,przechodzenachaos,1304.3
100,Totttthhh,1296.48
101,ThrowLow,1293.75
102,bigner,1293.52
103,donov,1293.06
104,SaneDude,1290.54
105,aDAMOpl,1289.5
106,backwardsdeer,1280.22
107,Reyl,1273.97
108,ShakaSpell,1273.93
109,CurryMonster,1268.11
110,Toon,1268.06
111,SteveWinwood,1262.95
112,Mr. Brasil,1259.77
113,Tinydoge,1259.22
114,Ginger,1255.76
115,Bascythe,1252.96
116,judicium,1250.86
117,orangecaffeine,1250.8
118,Falagar,1249.46
119,ndsurgenor,1249.21
120,double clutch,1248.53
121,Kradenth,1247.8
122,MP_Invisible,1246.93
123,HarleyQuinn,1243.0
124,Valiant,1242.19
125,errikos,1239.62
126,bembas,1237.02
127,Ben_Naylor,1236.84
128,MLoki,1233.66
129,Egon,1230.69
130,Alexcalibur,1226.62
131,HistoryMystery,1224.78
132,CommandoMonkey,1218.63
133,ndwags,1218.01
134,MaryMark3000,1216.54
135,LordFrank,1215.99
136,Bulldogcoma,1214.35
137,milton,1211.28
138,runningtrumpet,1209.53
139,3dsam1,1207.4
140,salmondip,1203.16
141,PrazoR,1202.58
142,KyraWNY,1202.09
143,Ryepitch,1199.74
144,Gilzgametoo,1198.13
145,Mikebot007,1192.28
146,krlosvzla,1188.01
147,BillyBeyond,1181.86
148,Maza,1179.47
149,dizisarn,1174.83
150,Qianpou,1174.0
151,Colonel Forbin,1167.13
152,howdydoodie,1164.84
153,Zagor,1162.11
154,snnaale43,1161.75
155,boredgamer01,1161.01
156,rabenjamain16,1159.44
157,johnak,1155.29
158,Kirby,1147.92
159,"Fylkir Tarkus ""Black Iron""",1147.37
160,NormanHologram,1146.78
161,Sid,1142.77
162,Genaros_bear,1141.29
163,SinNider,1139.7
164,oh_bob_saget,1139.61
165,Chivvo,1133.74
166,Foster Tom,1133.27
167,vtdchi,1132.11
168,Bizzusta,1128.87
169,aditya96,1128.85
170,tunibjork,1127.85
171,Kalambaka,1114.81
172,Goliathsboy,1108.66
173,knuBBe,1083.59
174,beansanddice,1080.69
175,smugskull,1076.27
176,WARchrst,1073.16
177,achipinthesugar,1070.86
178,F2PEngineer,1062.41
179,snoopymate25,1055.18
180,doctordoubleu,1042.57
181,1awesomeguy,1038.79
182,GM,1036.02
183,Wolftongue,1012.2
184,moop212,1009.62
185,Timemyth,995.42
186,AoB Joe,981.0
187,phyphor,955.75
